"record_type","item_id","name","quality","base_value","shape","drop_id","ref_id","weight","ref_type"
"ITEM","1013001","烧烤架","3","3855","22","0","0","0","0"
"ITEM","1013002","电动牙刷","3","1461","11","0","0","0","0"
"ITEM","1013003","筋膜枪","3","2045","21","0","0","0","0"
"ITEM","1013004","电动剃须刀","3","1767","11","0","0","0","0"
"ITEM","1013005","便携式手提箱","3","3551","22","0","0","0","0"
"ITEM","1013006","等身抱枕","3","3870","13","0","0","0","0"
"ITEM","1013007","BB机","3","1175","11","0","0","0","0"
"ITEM","1013008","便携式冰箱","3","4761","13","0","0","0","0"
"ITEM","1013009","电脑桌","3","3791","31","0","0","0","0"
"ITEM","1013010","纺织地毯","3","2858","21","0","0","0","0"
"ITEM","1014001","宝宝哄睡椅","4","8974","22","0","0","0","0"
"ITEM","1014002","除湿器","4","3454","12","0","0","0","0"
"ITEM","1014003","扫地机器人","4","8115","22","0","0","0","0"
"ITEM","1014004","吸尘器","4","6554","13","0","0","0","0"
"ITEM","1014005","大哥大电话","4","4624","12","0","0","0","0"
"ITEM","1014006","壁挂式空调","4","9115","31","0","0","0","0"
"ITEM","1014007","按摩椅","4","7758","22","0","0","0","0"
"ITEM","1014008","金丝眼镜","4","2514","11","0","0","0","0"
"ITEM","1014009","手办展示架","4","13251","24","0","0","0","0"
"ITEM","1014010","智能马桶","4","10542","23","0","0","0","0"
"ITEM","1015001","章丘铁锅","5","24969","21","0","0","0","0"
"ITEM","1015002","智能冰箱","5","61143","24","0","0","0","0"
"ITEM","1015003","智能温控空调","5","30159","13","0","0","0","0"
"ITEM","1015004","中古牛皮沙发","5","65610","31","0","0","0","0"
"ITEM","1015005","锦绣山河靠山石","5","51801","32","0","0","0","0"
"ITEM","1015006","财神爷摆件","5","71499","23","0","0","0","0"
"ITEM","1015007","发财树","5","48703","24","0","0","0","0"
"ITEM","1015008","貔貅茶宠","5","15345","11","0","0","0","0"
"ITEM","1015009","黄金打火机","5","21201","11","0","0","0","0"
"ITEM","1015010","航空碳纤维鱼竿","5","50604","14","0","0","0","0"
"ITEM","1016001","金丝楠木椅","6","187812","22","0","0","0","0"
"ITEM","1016002","小米全智能扫地机器人","6","170362","22","0","0","0","0"
"ITEM","1016003","小米云端100寸液晶电视","6","255115","32","0","0","0","0"
"ITEM","1016004","豪宅管理用黑盒","6","7402320","22","0","0","0","0"
"ITEM","1016005","黄金水龙头","6","85623","11","0","0","0","0"
"ITEM","1016006","红木屏风","6","361000","44","0","0","0","0"
"ITEM","1023001","电子体温计","3","1433","11","0","0","0","0"
"ITEM","1023002","胰岛素笔","3","855","11","0","0","0","0"
"ITEM","1023003","医用缝合包","3","3083","22","0","0","0","0"
"ITEM","1023004","无菌手术衣","3","5040","23","0","0","0","0"
"ITEM","1023005","腰椎固定带","3","3294","22","0","0","0","0"
"ITEM","1023006","便携式心电图仪","3","2385","22","0","0","0","0"
"ITEM","1023007","电子输液架","3","2322","13","0","0","0","0"
"ITEM","1023008","呼吸湿化器","3","2052","12","0","0","0","0"
"ITEM","1023009","静脉注射用人免疫球蛋白","3","1313","11","0","0","0","0"
"ITEM","1023010","家用急救医用箱","3","3798","22","0","0","0","0"
"ITEM","1024001","输液泵","4","9880","22","0","0","0","0"
"ITEM","1024002","除颤仪","4","12976","23","0","0","0","0"
"ITEM","1024003","单克隆抗体药物","4","6012","12","0","0","0","0"
"ITEM","1024004","气腹机","4","6780","22","0","0","0","0"
"ITEM","1024005","针灸人模型","4","11424","23","0","0","0","0"
"ITEM","1024006","超声波治疗仪","4","12581","23","0","0","0","0"
"ITEM","1024007","家用制氧呼吸机","4","14240","22","0","0","0","0"
"ITEM","1024008","龙涎香","4","3640","11","0","0","0","0"
"ITEM","1024009","特级鹿茸","4","5724","12","0","0","0","0"
"ITEM","1024010","长白山野山参","4","3780","12","0","0","0","0"
"ITEM","1025001","手术用显微镜","5","49920","22","0","0","0","0"
"ITEM","1025002","心脏支架","5","40385","22","0","0","0","0"
"ITEM","1025003","全自动生化分析仪","5","86130","34","0","0","0","0"
"ITEM","1025004","便携式超声诊断仪","5","62055","32","0","0","0","0"
"ITEM","1025005","个性化肿瘤疫苗","5","16200","11","0","0","0","0"
"ITEM","1025006","医用负压吸引器","5","60342","23","0","0","0","0"
"ITEM","1025007","病理监护仪","5","76233","22","0","0","0","0"
"ITEM","1026001","复苏呼吸机","6","1089660","33","0","0","0","0"
"ITEM","1026002","医用外骨骼","6","259165","23","0","0","0","0"
"ITEM","1026003","古医书《伤寒论》","6","158940","12","0","0","0","0"
"ITEM","1026004","紫檀木金针针灸套装","6","112896","22","0","0","0","0"
"ITEM","1026005","安宫牛黄丸","6","54675","11","0","0","0","0"
"ITEM","1026006","触摸感应仿生手","6","130296","11","0","0","0","0"
"ITEM","1026007","超声波诊断仪","6","475000","33","0","0","0","0"
"ITEM","1026008","百年人参","6","1039000","12","0","0","0","0"
"ITEM","1033001","兔兔背包","3","2214","22","0","0","0","0"
"ITEM","1033002","二次元痛包","3","2214","22","0","0","0","0"
"ITEM","1033003","JK制服","3","3875","23","0","0","0","0"
"ITEM","1033004","银制耳饰","3","923","11","0","0","0","0"
"ITEM","1033005","时尚腕饰","3","923","11","0","0","0","0"
"ITEM","1033006","真皮钱夹","3","1661","11","0","0","0","0"
"ITEM","1033007","水雾唇釉","3","923","11","0","0","0","0"
"ITEM","1033008","运动球鞋","3","1661","12","0","0","0","0"
"ITEM","1033009","公仔玩偶","3","1661","12","0","0","0","0"
"ITEM","1033010","联名键帽挂扣","3","711","11","0","0","0","0"
"ITEM","1034001","洛丽塔小裙子","4","9749","23","0","0","0","0"
"ITEM","1034002","名牌球鞋","4","4428","21","0","0","0","0"
"ITEM","1034003","限量手办","4","4428","12","0","0","0","0"
"ITEM","1034004","轻奢腕表","4","2460","11","0","0","0","0"
"ITEM","1034005","8848烫金手机壳","4","2560","11","0","0","0","0"
"ITEM","1034006","汉元素潮服","4","10332","23","0","0","0","0"
"ITEM","1034007","合金机器人模型","4","4428","12","0","0","0","0"
"ITEM","1034008","激光剑仿真玩具","4","7380","41","0","0","0","0"
"ITEM","1034009","名牌挎包","4","8380","22","0","0","0","0"
"ITEM","1034010","限定真人展示牌","4","25000","23","0","0","0","0"
"ITEM","1035001","限量时尚杂志","5","28450","22","0","0","0","0"
"ITEM","1035002","定制晚礼服","5","38745","23","0","0","0","0"
"ITEM","1035003","限定球星收藏卡","5","12225","11","0","0","0","0"
"ITEM","1035004","铂金胸针","5","15325","11","0","0","0","0"
"ITEM","1035005","机械腕表","5","9245","11","0","0","0","0"
"ITEM","1035006","亲签球衣","5","38745","23","0","0","0","0"
"ITEM","1035007","亲签球鞋","5","26605","21","0","0","0","0"
"ITEM","1035008","顶级化妆礼盒","5","27675","22","0","0","0","0"
"ITEM","1035009","满分斯诺克纪念球杆","5","36511","61","0","0","0","0"
"ITEM","1035010","伯纳普斯球场VIP赛季票","5","24332","11","0","0","0","0"
"ITEM","1036001","美容中心终身会员金卡","6","88888","11","0","0","0","0"
"ITEM","1036002","斯卡奥小金人","6","168000","12","0","0","0","0"
"ITEM","1036003","永恒时尚指南","6","266050","22","0","0","0","0"
"ITEM","1036004","宝斯终身VIP会员卡","6","465000","11","0","0","0","0"
"ITEM","1036005","环球小姐冠军皇冠","6","195154","21","0","0","0","0"
"ITEM","1043001","军用望远镜","3","2565","22","0","0","0","0"
"ITEM","1043002","战术背心","3","4316","23","0","0","0","0"
"ITEM","1043003","卡宾枪","3","3600","41","0","0","0","0"
"ITEM","1043004","MP5冲锋枪","3","3294","32","0","0","0","0"
"ITEM","1043005","合金弩枪","3","3339","32","0","0","0","0"
"ITEM","1043006","夜视仪","3","968","11","0","0","0","0"
"ITEM","1043007","沙漠之鹰","3","2052","21","0","0","0","0"
"ITEM","1043008","C4吸塑炸药","3","2363","21","0","0","0","0"
"ITEM","1043009","UZI冲锋枪","3","3851","22","0","0","0","0"
"ITEM","1043010","多功能军刀","3","1373","11","0","0","0","0"
"ITEM","1043011","大宝剑","3","4840","51","0","0","0","0"
"ITEM","1044001","M249轻机枪","4","12584","42","0","0","0","0"
"ITEM","1044002","RPG火箭筒","4","8976","41","0","0","0","0"
"ITEM","1044003","AWM狙击步枪","4","16310","51","0","0","0","0"
"ITEM","1044004","自爆式无人机","4","7140","22","0","0","0","0"
"ITEM","1044005","M系列自动步枪","4","11752","42","0","0","0","0"
"ITEM","1044006","全天候激光瞄准镜","4","2720","11","0","0","0","0"
"ITEM","1044007","热感应夜视防护头盔","4","3180","22","0","0","0","0"
"ITEM","1044008","竞赛级复合弓","4","10920","14","0","0","0","0"
"ITEM","1044009","可折叠高韧性防护盾","4","20082","34","0","0","0","0"
"ITEM","1044010","机动型水路两用气动靴","4","8830","22","0","0","0","0"
"ITEM","1044011","加特林重机枪","4","31688","52","0","0","0","0"
"ITEM","1045001","巴雷特反器材狙击步枪","5","67600","52","0","0","0","0"
"ITEM","1045002","重型全生态作战防弹衣","5","74745","34","0","0","0","0"
"ITEM","1045003","单兵战场信息系统终端","5","34490","22","0","0","0","0"
"ITEM","1045004","蜘蛛型自走机器人","5","82740","33","0","0","0","0"
"ITEM","1045005","便携式军用雷达","5","29500","22","0","0","0","0"
"ITEM","1045006","模块化电磁突击步枪试用型","5","55770","42","0","0","0","0"
"ITEM","1045007","单兵水下推进器","5","37350","23","0","0","0","0"
"ITEM","1045008","背挂式无线电干扰发生器","5","42525","22","0","0","0","0"
"ITEM","1045009","高浓缩磁暴瘫痪手雷","5","12400","11","0","0","0","0"
"ITEM","1045010","无人作战车","5","93753","43","0","0","0","0"
"ITEM","1046001","全息雷达无人机","6","226800","33","0","0","0","0"
"ITEM","1046002","007同款防弹西装","6","199080","23","0","0","0","0"
"ITEM","1046003","刺猬猫·全息阅读终端","6","54300","11","0","0","0","0"
"ITEM","1046004","单兵外骨骼助力系统","6","305920","34","0","0","0","0"
"ITEM","1046005","名刀：菊一文字","6","422002","42","0","0","0","0"
"ITEM","1046006","高斯振动匕首","6","531000","21","0","0","0","0"
"ITEM","1046007","古剑","6","143100","31","0","0","0","0"
"ITEM","1046008","相控阵雷达","6","1003000","34","0","0","0","0"
"ITEM","1046009","激光手枪","6","104400","21","0","0","0","0"
"ITEM","1053001","大理石","3","5885","33","0","0","0","0"
"ITEM","1053002","石榴石","3","1300","11","0","0","0","0"
"ITEM","1053003","月光石","3","1530","11","0","0","0","0"
"ITEM","1053004","东陵玉原石","3","5280","22","0","0","0","0"
"ITEM","1053005","岫岩玉原石","3","5970","22","0","0","0","0"
